"STATION","NAME","DATE","PRCP","SNWD","TMAX","TMIN"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-03-07","0.00","0.0","67","44"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-03-08","0.00","0.0","69","49"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-03-09","0.00","0.0","59","50"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-03-10","0.00","0.0","65","47"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-03-11","0.00","0.0","69","46"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-03-12","0.00","0.0","56","41"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-03-13","0.00","0.0","60","50"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-03-14","0.00","0.0","67","47"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-03-15","0.19","0.0","60","50"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-03-16","0.00","0.0","60","48"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-03-17","0.00","0.0","56","49"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-03-18","0.00","0.0","64","48"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-03-19","0.00","0.0","56","50"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-03-20","0.00","0.0","60","47"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-03-21","0.00","0.0","64","48"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-03-22","0.00","0.0","79","51"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-03-23","0.00","0.0","57","49"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-03-24","0.00","0.0","55","48"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-03-25","0.00","0.0","57","46"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-03-26","0.00","0.0","58","49"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-03-27","0.18","0.0","61","50"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-03-28","0.00","0.0","59","51"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-03-29","0.00","0.0","58","50"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-03-30","0.00","0.0","58","49"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-03-31","0.00","0.0","63","48"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-04-01","0.00",,"64","48"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-04-02","0.00",,"70","49"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-04-03","0.00",,"63","49"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-04-04","0.00",,"60","49"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-04-05","0.00",,"64","49"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-04-06","0.00",,"79","51"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-04-07","0.00",,"86","58"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-04-08","0.00",,"72","51"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-04-09","0.00",,"63","49"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-04-10","0.00",,"62","49"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-04-11","0.11",,"53","46"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-04-12","0.00",,"53","45"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-04-13","0.00",,"57","46"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-04-14","0.23",,"57","49"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-04-15","0.00",,"56","45"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-04-16","0.28",,"57","48"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-04-17","0.00",,"56","45"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-04-18","0.01",,"65","46"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-04-19","0.09",,"62","51"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-04-20","0.11",,"66","51"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-04-21","0.25",,"62","51"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-04-22","0.00",,"59","50"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-04-23","0.00",,"64","49"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-04-24","0.00",,"61","50"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-04-25","0.00",,"65","50"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-04-26","0.00",,"60","50"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-04-27","0.00",,"59","47"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-04-28","0.00",,"57","48"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-04-29","0.00",,"64","48"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-04-30","0.00",,"60","51"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-05-01","0.00","0.0","62","48"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-05-02","0.00","0.0","61","49"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-05-03","0.00","0.0","69","50"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-05-04","0.00","0.0","64","49"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-05-05","0.00","0.0","59","49"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-05-06","0.02","0.0","65","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-05-07","0.00","0.0","61","51"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-05-08","0.00","0.0","57","49"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-05-09","0.00","0.0","57","47"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-05-10","0.00","0.0","55","47"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-05-11","0.00","0.0","59","46"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-05-12","0.00","0.0","58","48"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-05-13","0.00","0.0","66","52"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-05-14","0.00","0.0","69","52"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-05-15","0.00","0.0","61","51"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-05-16","0.00","0.0","59","51"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-05-17","0.00","0.0","63","49"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-05-18","0.00","0.0","77","50"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-05-19","0.00","0.0","67","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-05-20","0.00","0.0","69","50"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-05-21","0.00","0.0","68","50"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-05-22","0.00","0.0","67","50"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-05-23","0.00","0.0","68","52"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-05-24","0.00","0.0","79","52"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-05-25","0.00","0.0","68","52"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-05-26","0.00","0.0","62","52"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-05-27","0.00","0.0","61","51"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-05-28","0.00","0.0","64","52"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-05-29","0.00","0.0","65","51"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-05-30","0.00","0.0","63","51"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-05-31","0.00","0.0","68","50"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-06-01","0.00","0.0","66","50"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-06-02","0.00","0.0","60","50"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-06-03","0.00","0.0","64","52"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-06-04","0.01","0.0","68","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-06-05","0.22","0.0","69","56"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-06-06","0.00","0.0","66","53"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-06-07","0.00","0.0","61","52"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-06-08","0.00","0.0","63","53"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-06-09","0.00","0.0","78","52"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-06-10","0.00","0.0","85","60"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-06-11","0.00","0.0","76","57"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-06-12","0.00","0.0","66","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-06-13","0.00","0.0","67","53"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-06-14","0.00","0.0","73","53"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-06-15","0.00","0.0","67","53"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-06-16","0.00","0.0","64","52"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-06-17","0.00","0.0","64","52"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-06-18","0.00","0.0","63","52"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-06-19","0.00","0.0","71","53"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-06-20","0.00","0.0","72","53"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-06-21","0.00","0.0","92","59"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-06-22","0.00","0.0","79","57"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-06-23","0.00","0.0","67","52"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-06-24","0.00","0.0","69","51"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-06-25","0.00","0.0","63","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-06-26","0.00","0.0","63","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-06-27","0.00","0.0","63","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-06-28","0.00","0.0","66","53"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-06-29","0.00","0.0","60","53"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-06-30","0.00","0.0","59","52"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-07-01","0.01",,"60","52"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-07-02","0.04",,"60","52"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-07-03","0.00",,"61","53"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-07-04","0.00",,"70","56"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-07-05","0.00",,"70","62"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-07-06","0.00",,"68","59"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-07-07","0.00",,"64","55"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-07-08","0.00",,"64","55"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-07-09","0.00",,"64","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-07-10","0.00",,"73","55"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-07-11","0.00",,"66","56"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-07-12","0.00",,"67","57"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-07-13","0.01",,"66","57"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-07-14","0.00",,"65","55"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-07-15","0.00",,"64","53"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-07-16","0.00",,"70","52"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-07-17","0.00",,"63","55"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-07-18","0.00",,"67","55"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-07-19","0.00",,"62","52"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-07-20","0.00",,"62","51"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-07-21","0.00",,"60","51"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-07-22","0.00",,"63","52"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-07-23","0.00",,"62","52"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-07-24","0.00",,"64","53"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-07-25","0.00",,"64","53"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-07-26","0.00",,"65","56"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-07-27","0.01",,"62","55"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-07-28","0.00",,"60","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-07-29","0.02",,"62","56"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-07-30","0.00",,"64","57"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-07-31","0.00",,"66","58"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-08-01","0.00","0.0","69","57"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-08-02","0.00","0.0","71","57"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-08-03","0.00","0.0","66","57"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-08-04","0.00","0.0","69","59"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-08-05","0.00","0.0","70","60"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-08-06","0.00","0.0","69","61"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-08-07","0.00","0.0","68","61"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-08-08","0.00","0.0","68","59"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-08-09","0.00","0.0","70","60"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-08-10","0.00","0.0","71","60"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-08-11","0.00","0.0","68","60"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-08-12","0.00","0.0","70","59"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-08-13","0.00","0.0","71","57"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-08-14","0.00","0.0","72","56"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-08-15","0.00","0.0","72","56"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-08-16","0.00","0.0","74","56"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-08-17","0.00","0.0","68","55"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-08-18","0.00","0.0","65","53"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-08-19","0.00","0.0","66","55"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-08-20","0.00","0.0","69","56"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-08-21","0.00","0.0","70","55"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-08-22","0.00","0.0","71","55"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-08-23","0.00","0.0","72","57"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-08-24","0.00","0.0","65","55"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-08-25","0.00","0.0","68","57"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-08-26","0.00","0.0","68","56"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-08-27","0.00","0.0","70","55"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-08-28","0.00","0.0","69","58"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-08-29","0.00","0.0","67","59"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-08-30","0.00","0.0","67","58"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-08-31","0.00","0.0","66","58"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-09-01","0.00",,"66","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-09-02","0.00",,"68","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-09-03","0.00",,"75","57"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-09-04","0.00",,"82","57"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-09-05","0.00",,"91","61"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-09-06","0.00",,"98","64"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-09-07","0.00",,"81","62"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-09-08","0.00",,"87","62"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-09-09","0.00",,"71","57"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-09-10","0.00",,"69","59"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-09-11","0.00",,"69","61"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-09-12","0.00",,"66","59"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-09-13","0.00",,"65","58"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-09-14","0.00",,"70","58"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-09-15","0.00",,"65","58"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-09-16","0.00",,"68","58"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-09-17","0.00",,"65","55"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-09-18","0.33",,"66","59"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-09-19","0.00",,"73","58"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-09-20","0.00",,"73","58"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-09-21","0.01",,"69","60"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-09-22","0.00",,"74","57"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-09-23","0.00",,"82","58"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-09-24","0.00",,"76","59"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-09-25","0.00",,"66","56"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-09-26","0.00",,"61","56"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-09-27","0.00",,"64","56"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-09-28","0.00",,"64","57"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-09-29","0.00",,"72","56"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-09-30","0.00",,"74","56"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-10-01","0.00","0.0","66","56"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-10-02","0.00","0.0","69","60"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-10-03","0.00","0.0","66","58"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-10-04","0.00","0.0","63","56"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-10-05","0.00","0.0","66","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-10-06","0.00","0.0","67","53"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-10-07","0.00","0.0","64","52"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-10-08","0.00","0.0","61","53"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-10-09","0.00","0.0","59","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-10-10","0.00","0.0","62","53"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-10-11","0.00","0.0","61","53"
